"doc_id","page_name.y","ad_creative_bodies.y"
"doc1478","odair cunha","mais seguranca pra passos! 

temos compromisso com a seguranca publica e, em passos, reforcamos essa missao entregando a nova viatura para a policia militar destinada pelo nosso mandato. o veiculo chega para reforcar a frota da corporacao e qualificar os servicos prestados pelos policiais na protecao do nosso povo e da nossa gente. estiveram presentes na entrega o ten. cel. charles, o ten. bruno, o presidente do sindicato dos trabalhadores do comercio de passos - sindcom, davi, e as liderancas levi, cesar e juarez moreira. continuem contando com nosso trabalho e apoio!  

#policiamilitar #pm #pmmg #segurancapublica #trabalho #presenca #parceria #compromisso #semprecomvoce #passos"
"doc1483","braulio braz","na ultima sexta-feira (24/06), estive no municipio de extrema, no sul de minas, acompanhando nosso governador romeu zema em uma agenda de grandes entregas e inauguracoes na cidade. 

na ocasiao, participei da cerimonia solene da inauguracao oficial da escola maristela carniel onisto e da entrega da nova sede do 59º batalhao de policia militar de minas gerais. durante a visita na escola, podemos conhecer de perto todo o trabalhado que a gestao municipal vem realizando no municipio, entregando uma escola com um alto padrao de qualidade e equipada com o que ha de mais moderno no segmento da educacao, ofertando uma educacao justa para aproximadamente 1.500 alunos.

durante a inauguracao do batalhao de policia militar, pude me surpreender com tamanha estrutura, que ira proporcionar aos policiais condicoes de trabalho excelentes, colocando extrema como uma das cidades que mais ofertam seguranca publica no estado. na cerimonia, foi assinada tambem a ordem de servico municipal  que autoriza a secretaria de obras e urbanismo a iniciar a construcao da delegacia regional de policia civil de minas gerais, encerrando com a entrega de mais de 15 viaturas policiais e o lancamento da ""operacao sentinela"", com o patrulhamento dos militares e de toda a frota de veiculos do batalhao.

parabenizo ao prefeito joao batista pelo trabalho realizado e ao grande amigo e vice-prefeito juliano por sempre estar em busca de uma politica que traga desenvolvimento para o povo deste municipio que tanto admiro. encontrei tambem meu amigo petebista tiago. todo o meu reconhecimento tambem ao governo de minas, que esta escrevendo uma historia nunca antes vista em minas.

fotos: assessoria de comunicacao deputado braulio braz e assessoria de comunicacao prefeitura municipal de extrema"
"doc1486","greyce elias","alterosa mais segura e mais desenvolvida! e por isso que trabalhamos em brasilia, para ajudar a cidade avancar! 

feliz em estar em alterosa, mais uma vez, para entrega de mais uma conquista pra seguranca publica, uma viatura modelo duster para a policia militar de alterosa, ao lado do prefeito marcelo, do vice file, dos vereadores gustavo gaiane, cinthia menezes, wellington, renato saude e edson carequinha, secretarios, amigos e liderancas. 

a viatura entregue para pm, ira contribuir para o policiamento ostensivo geral, tanto em atendimento de ocorrencias quanto em acoes e operacoes preventivas e repressivas.

desde 2019, tenho trabalhado pela cidade, ja foram mais de r$2 milhoes de emenda parlamentar destinados em varias areas alem da seguranca, como tambem a saude, assistencia social, infraestrutura, e agronegocio.
 
e com compromisso e muito trabalho, que vamos continuar levando recursos para toda cidade, contribuindo com um presente e futuro melhor para alterosa ❤️"
"doc1496","braulio braz","durante meu mandato, me comprometi com meus parceiros a desempenhar meu maximo para desenvolver cada vez mais minas gerais.
e por isso atraves de minha indicacao, machado recebeu um repasse no valor de 
 r$265.000,00 que sera destinado a aquisicao de uma van de 15 lugares para a area da educacao no municipio.
essa emenda e consequencia da minha parceria com meu amigo e vice-prefeito joelzinho, e o prefeito maycon, que juntos vem realizando uma bela gestao em seu mandato, e demais liderancas que sempre nos apoiam buscando o melhor para o seu povo e seu estado."
"doc1514","deputado federal dimas fabiano","👨🡨🁨️
recebi nessa segunda-feira (13), no meu gabinete em brasilia, a visita do prefeito maycon, da minha querida cidade de machado. 

ele veio agradecer, em nome dos servidores da prefeitura, a criacao do fundo da previdencia social do municipio, que conseguimos homologar junto ao governo federal. agora, os servidores conseguirao ter uma aposentadoria digna apos tantos anos de luta e de  trabalho dedicados ao servico publico! 

fico muito feliz por fazer parte de mais essa conquista para machado. os machadenses podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #minasgerais #mg #inss #deputadodimasfabiano #depdimasfabiano 
👨🡨🁨️"
"doc1530","odair cunha","mais seguranca para itapeva, senador amaral e toledo! 

investir na seguranca do nosso povo e da nossa gente e fundamental, e parte desse trabalho envolve tambem equipar melhor a policia militar. em extrema, no  59º batalhao de policia militar, entregamos as novas pistolas de impulso eletrico para os pelotoes de toledo, senador amaral e itapeva. as novas armas, adquiridas com recursos do nosso mandato em parceria com o deputado estadual ulysses gomes , reforcam a estrutura da pm e ajudam a preservar a vida tanto da populacao quanto dos proprios policiais durante o servico. continuem contando com nosso trabalho!

estiveram presentes na entrega o cap. garcia, representando o comando de extrema; a ten. simone; o prefeito de itapeva, daniel, e a lideranca joao batista; a vereadora poliana, de senador amaral, e a chefe de gabinete, adalgisa; e o amigo emerson, do pt de extrema. ate a proxima!

#seguranca #policiamilitar #pm #pmmg #parceria #trabalho #compromisos #presenca #minasgerais #extrema #toledo #senadoramaral #itapeva"
"doc1532","braulio braz","estive essa semana em maria da fe, no sul de minas, comemorando o aniversario da cidade, onde pude encontrar e rever grandes amigos da jornada politica. na ocasiao, estive acompanhado de meu chefe de gabinete, adair vidal, juntamente com a minha querida esposa, beth braz. 

entre as diversas atividades ao longo do dia, tive a oportunidade de assistir um belo desfile civico que resgatou diversos pontos marcantes da historia de maria da fe, onde tambem foi desfilado uma frota de veiculos novos que ira oferecer conforto e qualidade para os moradores da cidade.

como presente para a cidade, realizei, juntamente com o prefeito e grande amigo adilson, a inauguracao da torre de sinal de tv digital, no alto do pico da bandeira, onde e possivel ter uma visao lindissima de maria da fe e seu entorno. 

ja o os moradores do bairro cafundo, foram contemplados com a inauguracao da ponte virgilio silva campos, que trouxe mais seguranca e infraestrutura para o bairro, onde ha uma grande circulacao de veiculos. 

na area da saude, foi inaugurada uma unidade de saude da familia no bairro grota, que ira beneficiar os moradores do bairro, oferecendo os mais variados servicos da area e solucionando questoes que estavam sendo aguardadas pela populacao. 

a sede da prefeitura tambem foi contemplada com uma revitalizacao interna de todo o andar terreo, onde tambem foi inaugurada a sala mineira do empreendedor e da junta comercial do estado de minas gerais (jucemg). a sala mineira do empreendedor possui o objetivo de melhorar e simplificar o ambiente de negocios local, facilitando o surgimento de novos empreendimentos.

finalizando o dia, houve o lancamento do documentario ""mariense futebol clube: essa historia precisa continuar"", no predio do centro cultural, que encantou e emocionou quem estava presente, relembrando e mantendo uma grande parte da historia da cidade e do esporte local. 

e extremamente gratificante poder participar de momentos assim e ajudar a escrever a historia de um municipio que tanto admiro. agradeco ao prefeito, vereadores, secretarios e todos que me receberam. seguiremos juntos trabalhando cada vez mais por uma maria da fe prospera e com desenvolvimento."
"doc1533","emidinho madeira","𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗 𝗗𝗗𝗗𝗗𝗗 𝗗𝗗𝗗𝗗𝗗𝗗𝗗 𝗗 𝗗𝗗𝗗𝗗𝗗𝗗 𝗗𝗗 𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗𝗗 𝗗𝗗 𝗗𝗗𝗗𝗗𝗗𝗗 

a implantacao das delegacias rurais em passos, guaxupe, pocos de caldas e alfenas sempre foi prioridade em nosso mandato. fomos informados, que passos recebera, em breve, a instalacao do espaco dedicado a delegacia especializada em crimes praticados na zona rural. todos juntos no combate a criminalidade!"
"doc1534","deputado federal dimas fabiano","🏥🯥🏥
mais saude para machado! 

na semana passada (18), acompanhado do meu assessor alex palhares, o prefeito maycon willian e o diretor da santa casa de machado, luis fernando fonseca, vieram a brasilia para uma reuniao agendada no ministerio da saude com a assessora especial do gabinete do ministro, bonina rodrigues de almeida. infelizmente, nao pude estar presente por ter testado positivo para covid-19 horas antes do encontro.

entre as demandas solicitadas pelo municipio, lutamos pelo credenciamento de leitos de uti para a santa casa de machado, que beneficiarao toda a populacao da regiao com um atendimento cada vez melhor.

sempre estarei lutando por melhorias na area da saude!

machado e toda a populacao machadense podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #brasilia #saude #santacasa #hospital #deputadodimasfabiano #depdimasfabiano 
🏥🯥🏥"
"doc1535","deputado federal dimas fabiano","🏥🯥🏥
mais saude para machado! 

na semana passada (18), acompanhado do meu assessor alex palhares, o prefeito maycon willian e o diretor da santa casa de machado, luis fernando fonseca, vieram a brasilia para uma reuniao agendada no ministerio da saude com a assessora especial do gabinete do ministro, bonina rodrigues de almeida. infelizmente, nao pude estar presente por ter testado positivo para covid-19 horas antes do encontro.

entre as demandas solicitadas pelo municipio, lutamos pelo credenciamento de leitos de uti para a santa casa de machado, que beneficiarao toda a populacao da regiao com um atendimento cada vez melhor.

sempre estarei lutando por melhorias na area da saude!

machado e toda a populacao machadense podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #brasilia #saude #santacasa #hospital #deputadodimasfabiano #depdimasfabiano 
🏥🯥🏥"
