name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Serra Dos Aimorés,"""Serra Dos Aimorés""",6944 ,1.7,9348.91,Vale do Mucuri,Nanuque,0.651,213.574 ,2.25 ,32.51 
Serrania,"""Serrania""",7621 ,1.8,18752.62,Sul/Sudoeste de Minas,Alfenas,0.677,209.270 ,1.39 ,36.42 
Serranópolis De Minas,"""Serranópolis De Minas""",4399 ,1.7,8381.95,Norte de Minas,Janaúba,0.633,551.954 ,0.46 ,7.97 
Serranos,"""Serranos""",1990 ,2.2,16732,Sul/Sudoeste de Minas,Andrelândia,0.643,213.173 ,0.50 ,9.34 
Serro,"""Serro""",21952 ,1.7,12988.02,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.656,1217.813 ,4.94 ,18.03 
Sete Lagoas,"""Sete Lagoas""",227360 ,2.3,38250.03,Metropolitana de Belo Horizonte,Sete Lagoas,0.76,536.928 ,66.15 ,423.45 
Setubinha,"""Setubinha""",9917 ,1.3,8365.74,Vale do Mucuri,Teófilo Otoni,0.542,534.655 ,1.61 ,18.55 
Silveirânia,"""Silveirânia""",2323 ,1.6,14283.56,Zona da Mata,Ubá,0.652,157.456 ,0.60 ,14.75 
Silvianópolis,"""Silvianópolis""",6179 ,1.6,21252.51,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.699,312.166 ,1.10 ,19.79 
Simão Pereira,"""Simão Pereira""",2947 ,2,39588.9,Zona da Mata,Juiz de Fora,0.638,135.689 ,1.57 ,21.72 
Simonésia,"""Simonésia""",19750 ,1.5,12480.89,Zona da Mata,Manhuaçu,0.632,486.543 ,2.07 ,40.59 
Sobrália,"""Sobrália""",5137 ,1.8,10951.55,Vale do Rio Doce,Governador Valadares,0.631,206.787 ,1.18 ,24.84 
Soledade De Minas,"""Soledade De Minas""",5613 ,1.7,11896.31,Sul/Sudoeste de Minas,São Lourenço,0.697,196.866 ,1.43 ,28.51 
Tabuleiro,"""Tabuleiro""",4014 ,1.6,16961.41,Zona da Mata,Ubá,0.681,211.084 ,1.01 ,19.02 
Taiobeiras,"""Taiobeiras""",33050 ,1.5,14714.39,Norte de Minas,Salinas,0.67,1220.046 ,7.37 ,27.09 
Taparuba,"""Taparuba""",3387 ,1.5,14257.09,Vale do Rio Doce,Aimorés,0.645,193.082 ,0.76 ,17.54 
Tapira,"""Tapira""",4118 ,3.3,122976.59,Triângulo Mineiro/Alto Paranaíba,Araxá,0.712,1179.248 ,0.84 ,3.49 
Tapiraí,"""Tapiraí""",1690 ,1.9,26077.47,Oeste de Minas,Piuí,0.667,407.920 ,0.34 ,4.14 
Taquaraçu De Minas,"""Taquaraçu De Minas""",4224 ,1.8,14327.81,Metropolitana de Belo Horizonte,Itabira,0.651,329.287 ,3.95 ,12.83 
Tarumirim,"""Tarumirim""",14709 ,1.4,11666.26,Vale do Rio Doce,Caratinga,0.633,731.753 ,3.23 ,20.10 
Teixeiras,"""Teixeiras""",12255 ,1.5,13849.9,Zona da Mata,Viçosa,0.675,166.735 ,2.53 ,73.50 
Teófilo Otoni,"""Teófilo Otoni""",137418 ,1.7,19873.45,Vale do Mucuri,Teófilo Otoni,0.701,3242.270 ,24.01 ,42.38 
Timóteo,"""Timóteo""",81579 ,2.5,40195.42,Vale do Rio Doce,Ipatinga,0.77,144.381 ,18.13 ,565.03 
Tiradentes,"""Tiradentes""",7744 ,1.3,21071.47,Campo das Vertentes,São João Del Rei,0.74,83.047 ,4.93 ,93.25 
Tiros,"""Tiros""",7883 ,2.3,45315.75,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,0.683,2091.774 ,2.03 ,3.77 
Tocantins,"""Tocantins""",16185 ,1.5,18391.83,Zona da Mata,Ubá,0.688,173.866 ,3.61 ,93.09 
Tocos Do Moji,"""Tocos Do Moji""",3826 ,1.7,14923,Sul/Sudoeste de Minas,Pouso Alegre,0.696,114.705 ,1.08 ,33.36 
Toledo,"""Toledo""",7214 ,1.5,13114.22,Sul/Sudoeste de Minas,Pouso Alegre,0.661,136.776 ,1.34 ,52.74 
Tombos,"""Tombos""",8609 ,1.5,14510.44,Zona da Mata,Muriaé,0.718,285.124 ,1.62 ,30.19 
Três Corações,"""Três Corações""",75485 ,2,32604.19,Sul/Sudoeste de Minas,Varginha,0.744,828.038 ,21.56 ,91.16 
Três Marias,"""Três Marias""",28895 ,2.1,90315.57,Central Mineira,Três Marias,0.752,2678.253 ,12.17 ,10.79 
Três Pontas,"""Três Pontas""",55259 ,1.8,27366.84,Sul/Sudoeste de Minas,Varginha,0.731,689.794 ,10.61 ,80.11 
Tumiritinga,"""Tumiritinga""",5886 ,1.3,10630.94,Vale do Rio Doce,Governador Valadares,0.626,500.073 ,1.74 ,11.77 
Tupaciguara,"""Tupaciguara""",25470 ,2.3,33536.9,Triângulo Mineiro/Alto Paranaíba,Uberlândia,0.719,1822.530 ,8.11 ,13.98 
Turmalina,"""Turmalina""",20000 ,1.8,20978.3,Jequitinhonha,Capelinha,0.682,1153.111 ,4.91 ,17.34 
Turvolândia,"""Turvolândia""",4935 ,1.7,22609.33,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.696,221.000 ,1.10 ,22.33 
Ubá,"""Ubá""",103365 ,1.7,28249.62,Zona da Mata,Ubá,0.724,407.452 ,20.76 ,253.69 
Ubaí,"""Ubaí""",11708 ,1.4,8329.26,Norte de Minas,Montes Claros,0.609,820.524 ,2.60 ,14.27 
Ubaporanga,"""Ubaporanga""",13017 ,1.6,12188.77,Vale do Rio Doce,Caratinga,0.614,189.045 ,2.85 ,68.86 
Uberaba,"""Uberaba""",337846 ,2.6,50997.49,Triângulo Mineiro/Alto Paranaíba,Uberaba,0.772,4523.957 ,98.72 ,74.68 
Uberlândia,"""Uberlândia""",713232 ,2.6,53828.78,Triângulo Mineiro/Alto Paranaíba,Uberlândia,0.789,4115.206 ,172.85 ,173.32 
Umburatiba,"""Umburatiba""",2684 ,1.7,18612.89,Vale do Mucuri,Nanuque,0.638,405.834 ,0.84 ,6.61 
Unaí,"""Unaí""",86619 ,2.1,39131.9,Noroeste de Minas,Unaí,0.736,8445.432 ,20.18 ,10.26 
União De Minas,"""União De Minas""",3828 ,1.7,27214.37,Triângulo Mineiro/Alto Paranaíba,Frutal,0.672,1147.407 ,0.92 ,3.34 
Uruana De Minas,"""Uruana De Minas""",3282 ,1.7,20513,Noroeste de Minas,Unaí,0.664,598.221 ,0.99 ,5.49 
Urucânia,"""Urucânia""",10600 ,1.7,23359.53,Zona da Mata,Ponte Nova,0.633,138.792 ,1.77 ,76.37 
Urucuia,"""Urucuia""",17479 ,1.7,9004.03,Norte de Minas,Januária,0.619,2076.942 ,2.12 ,8.42 
Vargem Alegre,"""Vargem Alegre""",5780 ,1.8,10598.88,Vale do Rio Doce,Caratinga,0.631,116.664 ,1.19 ,49.54 
Vargem Bonita,"""Vargem Bonita""",2158 ,2.1,28573.82,Oeste de Minas,Piuí,0.696,409.888 ,0.60 ,5.26 
Vargem Grande Do Rio Pardo,"""Vargem Grande Do Rio Pardo""",4633 ,1.3,11753.64,Norte de Minas,Salinas,0.634,491.512 ,1.00 ,9.43 
Varginha,"""Varginha""",136467 ,2.1,45797.14,Sul/Sudoeste de Minas,Varginha,0.778,395.396 ,34.95 ,345.14 
Varjão De Minas,"""Varjão De Minas""",6969 ,1.8,29105.78,Noroeste de Minas,Paracatu,0.711,651.505 ,1.11 ,10.70 
Várzea Da Palma,"""Várzea Da Palma""",33744 ,1.7,22457.68,Norte de Minas,Pirapora,0.666,2220.279 ,11.37 ,15.20 
Varzelândia,"""Varzelândia""",18840 ,1.7,9037.7,Norte de Minas,Montes Claros,0.594,814.994 ,4.59 ,23.12 
Vazante,"""Vazante""",19975 ,2.4,43090.61,Noroeste de Minas,Paracatu,0.742,1913.396 ,5.71 ,10.44 
Verdelândia,"""Verdelândia""",7672 ,1.5,10049.78,Norte de Minas,Montes Claros,0.584,1570.582 ,1.07 ,4.88 
Veredinha,"""Veredinha""",5181 ,1.5,21136.08,Jequitinhonha,Capelinha,0.632,631.692 ,1.79 ,8.20 
Veríssimo,"""Veríssimo""",3411 ,1.8,32305.56,Triângulo Mineiro/Alto Paranaíba,Uberaba,0.667,1031.823 ,1.30 ,3.31 
Vermelho Novo,"""Vermelho Novo""",4899 ,1.7,10561.66,Zona da Mata,Ponte Nova,0.612,115.242 ,0.60 ,42.51 
Vespasiano,"""Vespasiano""",129246 ,2.3,20876.8,Metropolitana de Belo Horizonte,Belo Horizonte,0.688,71.040 ,21.18 ,1819.34 
Viçosa,"""Viçosa""",76430 ,3,22472.92,Zona da Mata,Viçosa,0.775,299.418 ,18.23 ,255.26 
Vieiras,"""Vieiras""",3700 ,1.6,13305.54,Zona da Mata,Muriaé,0.668,112.691 ,0.50 ,32.83 
Virgem Da Lapa,"""Virgem Da Lapa""",11804 ,1.7,9030.64,Jequitinhonha,Araçuaí,0.61,868.914 ,2.61 ,13.58 
Virgínia,"""Virgínia""",8908 ,1.5,18837.01,Sul/Sudoeste de Minas,Itajubá,0.651,326.515 ,2.48 ,27.28 
Virginópolis,"""Virginópolis""",10314 ,1.5,15536.94,Vale do Rio Doce,Guanhães,0.675,439.878 ,2.27 ,23.45 
Virgolândia,"""Virgolândia""",4552 ,1.5,10291.99,Vale do Rio Doce,Governador Valadares,0.62,281.022 ,1.03 ,16.20 
Visconde Do Rio Branco,"""Visconde Do Rio Branco""",39160 ,1.9,30276.85,Zona da Mata,Ubá,0.709,243.351 ,10.47 ,160.92 
Volta Grande,"""Volta Grande""",4443 ,1.7,24050.74,Zona da Mata,Cataguases,0.669,205.552 ,1.72 ,21.61 
Wenceslau Braz,"""Wenceslau Braz""",2356 ,1.8,11996.43,Sul/Sudoeste de Minas,Itajubá,0.678,102.487 ,0.58 ,22.99 
