name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Muzambinho,"""Muzambinho""",21891 ,1.9,23480.41,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.74,409.948 ,5.68 ,53.40 
Nacip Raydan,"""Nacip Raydan""",2459 ,1.6,10205.01,Vale do Rio Doce,Governador Valadares,0.585,233.493 ,0.86 ,10.53 
Nanuque,"""Nanuque""",35038 ,1.8,20934.1,Vale do Mucuri,Nanuque,0.701,1518.166 ,9.95 ,23.08 
Naque,"""Naque""",6303 ,1.6,11821.29,Vale do Rio Doce,Ipatinga,0.675,127.173 ,1.24 ,49.56 
Natalândia,"""Natalândia""",3520 ,1.7,18521.82,Noroeste de Minas,Unaí,0.671,468.660 ,0.84 ,7.51 
Natércia,"""Natércia""",4691 ,1.6,17973.17,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.693,188.719 ,0.83 ,24.86 
Nazareno,"""Nazareno""",8179 ,2.1,47223.78,Campo das Vertentes,São João Del Rei,0.69,341.453 ,1.80 ,23.95 
Nepomuceno,"""Nepomuceno""",25018 ,1.8,20088.22,Campo das Vertentes,Lavras,0.667,582.553 ,4.42 ,42.95 
Ninheira,"""Ninheira""",10588 ,1.7,9916.38,Norte de Minas,Salinas,0.556,1108.255 ,1.36 ,9.55 
Nova Belém,"""Nova Belém""",3151 ,1.5,20208.06,Vale do Rio Doce,Mantena,0.592,146.775 ,0.45 ,21.47 
Nova Era,"""Nova Era""",17438 ,2,22084.14,Metropolitana de Belo Horizonte,Itabira,0.709,361.926 ,3.74 ,48.18 
Nova Lima,"""Nova Lima""",111697 ,3.3,126993.16,Metropolitana de Belo Horizonte,Belo Horizonte,0.813,429.313 ,41.98 ,260.18 
Nova Módica,"""Nova Módica""",3663 ,1.9,14406.98,Vale do Rio Doce,Governador Valadares,0.63,375.973 ,0.67 ,9.74 
Nova Ponte,"""Nova Ponte""",14598 ,1.7,79020.94,Triângulo Mineiro/Alto Paranaíba,Araxá,0.701,1111.011 ,4.80 ,13.14 
Nova Porteirinha,"""Nova Porteirinha""",6706 ,1.9,14492.42,Norte de Minas,Janaúba,0.641,120.943 ,1.77 ,55.45 
Nova Resende,"""Nova Resende""",16387 ,1.8,17692.82,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.671,390.152 ,3.77 ,42.00 
Nova Serrana,"""Nova Serrana""",105552 ,1.6,22739.8,Oeste de Minas,Divinópolis,0.715,282.472 ,18.80 ,373.67 
Nova União,"""Nova União""",5909 ,1.6,16147.93,Metropolitana de Belo Horizonte,Itabira,0.662,172.131 ,1.80 ,34.33 
Novo Cruzeiro,"""Novo Cruzeiro""",26975 ,1.6,9418.94,Jequitinhonha,Araçuaí,0.571,1702.981 ,3.70 ,15.84 
Novo Oriente De Minas,"""Novo Oriente De Minas""",10275 ,1.6,10967.52,Vale do Mucuri,Teófilo Otoni,0.555,755.151 ,1.16 ,13.61 
Novorizonte,"""Novorizonte""",4571 ,1.4,11129.51,Norte de Minas,Salinas,0.616,271.610 ,1.35 ,16.83 
Olaria,"""Olaria""",1945 ,1.7,16968.19,Zona da Mata,Juiz de Fora,0.636,178.242 ,0.33 ,10.91 
Olhos-D'água,"""Olhos-D'água""",5385 ,1.5,35151.89,Norte de Minas,Bocaiúva,0.626,2092.078 ,1.02 ,2.57 
Olímpio Noronha,"""Olímpio Noronha""",2555 ,2,14607.53,Sul/Sudoeste de Minas,São Lourenço,0.674,54.633 ,0.66 ,46.77 
Oliveira,"""Oliveira""",39262 ,1.6,21755.4,Oeste de Minas,Oliveira,0.699,897.294 ,9.40 ,43.76 
Oliveira Fortes,"""Oliveira Fortes""",2027 ,1.5,16312.6,Zona da Mata,Juiz de Fora,0.635,111.130 ,0.61 ,18.24 
Onça De Pitangui,"""Onça De Pitangui""",2969 ,2.2,20006.4,Metropolitana de Belo Horizonte,Pará de Minas,0.663,246.976 ,0.89 ,12.02 
